Month,FY,Store,Metric,Amount,AmountUnit
2021-Apr,FY 2021-22,SKC,Rent,0.22,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,Rent,1.77,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,Rent,1.42,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,Rent,0.47,Rs. Lakhs
2021-Apr,FY 2021-22,RMZ,CAM,0.13,Rs. Lakhs
2021-Apr,FY 2021-22,INB,CAM,0.16,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,CAM,0.14,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,CAM,0.09,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,CAM,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,EST,CAM,0.16,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,CAM,0.28,Rs. Lakhs
2021-Apr,FY 2021-22,SEC,CAM,0.03,Rs. Lakhs
2021-Apr,FY 2021-22,PRI,CAM,0.19,Rs. Lakhs
2021-Apr,FY 2021-22,RGA,CAM,0.24,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,CAM,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,CAM,0.34,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,CAM,0.53,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,CAM,0.24,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,Aggregator commission,1.19,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,Aggregator commission,1.71,Rs. Lakhs
2021-Apr,FY 2021-22,INB,Aggregator commission,2.29,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,Aggregator commission,3.68,Rs. Lakhs
2021-Apr,FY 2021-22,IND,Aggregator commission,3.93,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,Aggregator commission,0.96,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,Aggregator commission,2.86,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,Aggregator commission,1.16,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,Aggregator commission,3.98,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,Aggregator commission,4.37,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,Aggregator commission,1.38,Rs. Lakhs
2021-Apr,FY 2021-22,EST,Aggregator commission,2.15,Rs. Lakhs
