Metric,Store,Month-Year,FY,Amount (in lakhs)
GST,RMZ,August 2023,FY24,0.59
Net Sales,RMZ,August 2023,FY24,19.52
COGS (food +packaging),RMZ,August 2023,FY24,7.82
store Labor Cost,RMZ,August 2023,FY24,2.59
Utility Cost,RMZ,August 2023,FY24,0.83
Rent,RMZ,August 2023,FY24,0.0
CAM,RMZ,August 2023,FY24,0.19
Aggregator commission,RMZ,August 2023,FY24,1.67
Marketing & advertisement,RMZ,August 2023,FY24,0.37
Interest cost,RMZ,August 2023,FY24,
Gross Sales,KOR,August 2023,FY24,36.47
GST,KOR,August 2023,FY24,0.49
Net Sales,KOR,August 2023,FY24,35.98
COGS (food +packaging),KOR,August 2023,FY24,12.78
store Labor Cost,KOR,August 2023,FY24,3.41
Utility Cost,KOR,August 2023,FY24,1.43
Rent,KOR,August 2023,FY24,1.5
CAM,KOR,August 2023,FY24,0.0
Aggregator commission,KOR,August 2023,FY24,5.5
Marketing & advertisement,KOR,August 2023,FY24,0.56
Interest cost,KOR,August 2023,FY24,
Gross Sales,INB,August 2023,FY24,
GST,INB,August 2023,FY24,0.0
Net Sales,INB,August 2023,FY24,
COGS (food +packaging),INB,August 2023,FY24,0.0
store Labor Cost,INB,August 2023,FY24,0.0
Utility Cost,INB,August 2023,FY24,0.0
Rent,INB,August 2023,FY24,
CAM,INB,August 2023,FY24,
Aggregator commission,INB,August 2023,FY24,
Marketing & advertisement,INB,August 2023,FY24,0.0
Interest cost,INB,August 2023,FY24,
Gross Sales,DIV,August 2023,FY24,22.87
GST,DIV,August 2023,FY24,0.55
Net Sales,DIV,August 2023,FY24,22.33
COGS (food +packaging),DIV,August 2023,FY24,8.49
store Labor Cost,DIV,August 2023,FY24,2.94
Utility Cost,DIV,August 2023,FY24,1.54
Rent,DIV,August 2023,FY24,2.28
CAM,DIV,August 2023,FY24,0.14
Aggregator commission,DIV,August 2023,FY24,2.44
Marketing & advertisement,DIV,August 2023,FY24,0.46
Interest cost,DIV,August 2023,FY24,
Gross Sales,IND,August 2023,FY24,50.97
GST,IND,August 2023,FY24,0.48
Net Sales,IND,August 2023,FY24,50.49
COGS (food +packaging),IND,August 2023,FY24,19.29
store Labor Cost,IND,August 2023,FY24,4.33
Utility Cost,IND,August 2023,FY24,1.81
Rent,IND,August 2023,FY24,1.46
CAM,IND,August 2023,FY24,0.0
Aggregator commission,IND,August 2023,FY24,8.79
Marketing & advertisement,IND,August 2023,FY24,1.18
Interest cost,IND,August 2023,FY24,
Gross Sales,BAG,August 2023,FY24,28.8
GST,BAG,August 2023,FY24,0.66
Net Sales,BAG,August 2023,FY24,28.14
COGS (food +packaging),BAG,August 2023,FY24,10.17
store Labor Cost,BAG,August 2023,FY24,3.95
Utility Cost,BAG,August 2023,FY24,0.92
Rent,BAG,August 2023,FY24,3.32
CAM,BAG,August 2023,FY24,0.29
Aggregator commission,BAG,August 2023,FY24,3.17
Marketing & advertisement,BAG,August 2023,FY24,0.36
Interest cost,BAG,August 2023,FY24,
Gross Sales,DLF,August 2023,FY24,
GST,DLF,August 2023,FY24,0.0
Net Sales,DLF,August 2023,FY24,
COGS (food +packaging),DLF,August 2023,FY24,0.0
store Labor Cost,DLF,August 2023,FY24,0.0
Utility Cost,DLF,August 2023,FY24,0.0
Rent,DLF,August 2023,FY24,
CAM,DLF,August 2023,FY24,0.0
Aggregator commission,DLF,August 2023,FY24,
Marketing & advertisement,DLF,August 2023,FY24,
Interest cost,DLF,August 2023,FY24,
Gross Sales,MAN,August 2023,FY24,26.5
GST,MAN,August 2023,FY24,0.61
Net Sales,MAN,August 2023,FY24,25.88
COGS (food +packaging),MAN,August 2023,FY24,9.6
store Labor Cost,MAN,August 2023,FY24,3.24
Utility Cost,MAN,August 2023,FY24,0.84
Rent,MAN,August 2023,FY24,3.06
CAM,MAN,August 2023,FY24,0.0
Aggregator commission,MAN,August 2023,FY24,2.89
Marketing & advertisement,MAN,August 2023,FY24,1.01
Interest cost,MAN,August 2023,FY24,
Gross Sales,MTP,August 2023,FY24,10.71
GST,MTP,August 2023,FY24,0.51
Net Sales,MTP,August 2023,FY24,10.2
COGS (food +packaging),MTP,August 2023,FY24,4.25
store Labor Cost,MTP,August 2023,FY24,1.48
Utility Cost,MTP,August 2023,FY24,0.6
Rent,MTP,August 2023,FY24,1.4
CAM,MTP,August 2023,FY24,0.0
Aggregator commission,MTP,August 2023,FY24,0.0
Marketing & advertisement,MTP,August 2023,FY24,0.02
Interest cost,MTP,August 2023,FY24,
Gross Sales,ETV,August 2023,FY24,
GST,ETV,August 2023,FY24,0.0
Net Sales,ETV,August 2023,FY24,
COGS (food +packaging),ETV,August 2023,FY24,0.0
store Labor Cost,ETV,August 2023,FY24,0.0
Utility Cost,ETV,August 2023,FY24,0.0
Rent,ETV,August 2023,FY24,
CAM,ETV,August 2023,FY24,0.0
Aggregator commission,ETV,August 2023,FY24,
Marketing & advertisement,ETV,August 2023,FY24,
Interest cost,ETV,August 2023,FY24,
Gross Sales,VIR,August 2023,FY24,
GST,VIR,August 2023,FY24,0.0
Net Sales,VIR,August 2023,FY24,
COGS (food +packaging),VIR,August 2023,FY24,0.0
store Labor Cost,VIR,August 2023,FY24,0.0
Utility Cost,VIR,August 2023,FY24,0.05
Rent,VIR,August 2023,FY24,0.0
CAM,VIR,August 2023,FY24,0.0
Aggregator commission,VIR,August 2023,FY24,
Marketing & advertisement,VIR,August 2023,FY24,0.0
Interest cost,VIR,August 2023,FY24,
Gross Sales,ARK,August 2023,FY24,39.53
GST,ARK,August 2023,FY24,0.53
Net Sales,ARK,August 2023,FY24,39.0
COGS (food +packaging),ARK,August 2023,FY24,13.23
store Labor Cost,ARK,August 2023,FY24,3.61
Utility Cost,ARK,August 2023,FY24,1.89
Rent,ARK,August 2023,FY24,1.48
CAM,ARK,August 2023,FY24,0.0
Aggregator commission,ARK,August 2023,FY24,5.97
Marketing & advertisement,ARK,August 2023,FY24,0.65
Interest cost,ARK,August 2023,FY24,
Gross Sales,SIG,August 2023,FY24,
GST,SIG,August 2023,FY24,0.0
Net Sales,SIG,August 2023,FY24,
COGS (food +packaging),SIG,August 2023,FY24,0.0
store Labor Cost,SIG,August 2023,FY24,0.0
Utility Cost,SIG,August 2023,FY24,0.0
Rent,SIG,August 2023,FY24,0.0
CAM,SIG,August 2023,FY24,0.0
Aggregator commission,SIG,August 2023,FY24,
Marketing & advertisement,SIG,August 2023,FY24,
Interest cost,SIG,August 2023,FY24,
Gross Sales,HSR,August 2023,FY24,57.68
GST,HSR,August 2023,FY24,0.71
Net Sales,HSR,August 2023,FY24,56.97
COGS (food +packaging),HSR,August 2023,FY24,19.6
store Labor Cost,HSR,August 2023,FY24,4.99
Utility Cost,HSR,August 2023,FY24,2.01
Rent,HSR,August 2023,FY24,1.94
CAM,HSR,August 2023,FY24,0.0
Aggregator commission,HSR,August 2023,FY24,8.95
Marketing & advertisement,HSR,August 2023,FY24,0.61
Interest cost,HSR,August 2023,FY24,
Gross Sales,CVR,August 2023,FY24,
GST,CVR,August 2023,FY24,0.0
Net Sales,CVR,August 2023,FY24,
COGS (food +packaging),CVR,August 2023,FY24,0.0
store Labor Cost,CVR,August 2023,FY24,0.0
Utility Cost,CVR,August 2023,FY24,0.05
Rent,CVR,August 2023,FY24,0.0
CAM,CVR,August 2023,FY24,0.0
Aggregator commission,CVR,August 2023,FY24,0.0
Marketing & advertisement,CVR,August 2023,FY24,0.0
Interest cost,CVR,August 2023,FY24,
Gross Sales,SJP,August 2023,FY24,
GST,SJP,August 2023,FY24,0.0
Net Sales,SJP,August 2023,FY24,
COGS (food +packaging),SJP,August 2023,FY24,0.0
store Labor Cost,SJP,August 2023,FY24,0.0
Utility Cost,SJP,August 2023,FY24,0.0
Rent,SJP,August 2023,FY24,
CAM,SJP,August 2023,FY24,0.0
Aggregator commission,SJP,August 2023,FY24,0.0
Marketing & advertisement,SJP,August 2023,FY24,0.0
Interest cost,SJP,August 2023,FY24,
Gross Sales,ORW,August 2023,FY24,31.9
GST,ORW,August 2023,FY24,0.95
Net Sales,ORW,August 2023,FY24,30.95
COGS (food +packaging),ORW,August 2023,FY24,11.2
store Labor Cost,ORW,August 2023,FY24,3.41
Utility Cost,ORW,August 2023,FY24,1.21
Rent,ORW,August 2023,FY24,4.84
CAM,ORW,August 2023,FY24,1.08
Aggregator commission,ORW,August 2023,FY24,2.43
Marketing & advertisement,ORW,August 2023,FY24,0.38
Interest cost,ORW,August 2023,FY24,
Gross Sales,EST,August 2023,FY24,28.24
GST,EST,August 2023,FY24,0.34
Net Sales,EST,August 2023,FY24,27.9
COGS (food +packaging),EST,August 2023,FY24,9.61
store Labor Cost,EST,August 2023,FY24,3.1
Utility Cost,EST,August 2023,FY24,1.71
Rent,EST,August 2023,FY24,1.45
CAM,EST,August 2023,FY24,0.36
Aggregator commission,EST,August 2023,FY24,4.51
Marketing & advertisement,EST,August 2023,FY24,0.63
Interest cost,EST,August 2023,FY24,
Gross Sales,ORE,August 2023,FY24,
GST,ORE,August 2023,FY24,0.0
Net Sales,ORE,August 2023,FY24,
COGS (food +packaging),ORE,August 2023,FY24,0.0
store Labor Cost,ORE,August 2023,FY24,0.0
Utility Cost,ORE,August 2023,FY24,0.0
Rent,ORE,August 2023,FY24,
CAM,ORE,August 2023,FY24,
Aggregator commission,ORE,August 2023,FY24,
Marketing & advertisement,ORE,August 2023,FY24,
Interest cost,ORE,August 2023,FY24,
Gross Sales,AUR,August 2023,FY24,
GST,AUR,August 2023,FY24,0.0
Net Sales,AUR,August 2023,FY24,
COGS (food +packaging),AUR,August 2023,FY24,0.0
store Labor Cost,AUR,August 2023,FY24,0.0
Utility Cost,AUR,August 2023,FY24,0.0
Rent,AUR,August 2023,FY24,
CAM,AUR,August 2023,FY24,
Aggregator commission,AUR,August 2023,FY24,
Marketing & advertisement,AUR,August 2023,FY24,
Interest cost,AUR,August 2023,FY24,
Gross Sales,JPN,August 2023,FY24,43.42
GST,JPN,August 2023,FY24,0.59
Net Sales,JPN,August 2023,FY24,42.83
COGS (food +packaging),JPN,August 2023,FY24,16.61
store Labor Cost,JPN,August 2023,FY24,4.13
Utility Cost,JPN,August 2023,FY24,1.76
Rent,JPN,August 2023,FY24,4.06
CAM,JPN,August 2023,FY24,0.0
Aggregator commission,JPN,August 2023,FY24,6.48
Marketing & advertisement,JPN,August 2023,FY24,1.34
Interest cost,JPN,August 2023,FY24,
Gross Sales,JPC,August 2023,FY24,
GST,JPC,August 2023,FY24,0.0
Net Sales,JPC,August 2023,FY24,
COGS (food +packaging),JPC,August 2023,FY24,0.0
store Labor Cost,JPC,August 2023,FY24,0.0
Utility Cost,JPC,August 2023,FY24,0.0
Rent,JPC,August 2023,FY24,
CAM,JPC,August 2023,FY24,
Aggregator commission,JPC,August 2023,FY24,
Marketing & advertisement,JPC,August 2023,FY24,
Interest cost,JPC,August 2023,FY24,
Gross Sales,PTP,August 2023,FY24,
GST,PTP,August 2023,FY24,0.0
Net Sales,PTP,August 2023,FY24,
COGS (food +packaging),PTP,August 2023,FY24,0.0
store Labor Cost,PTP,August 2023,FY24,0.0
Utility Cost,PTP,August 2023,FY24,0.0
Rent,PTP,August 2023,FY24,
CAM,PTP,August 2023,FY24,0.0
Aggregator commission,PTP,August 2023,FY24,
Marketing & advertisement,PTP,August 2023,FY24,
Interest cost,PTP,August 2023,FY24,
Gross Sales,SEC,August 2023,FY24,
GST,SEC,August 2023,FY24,0.0
Net Sales,SEC,August 2023,FY24,
COGS (food +packaging),SEC,August 2023,FY24,0.0
store Labor Cost,SEC,August 2023,FY24,0.0
Utility Cost,SEC,August 2023,FY24,0.0
Rent,SEC,August 2023,FY24,
CAM,SEC,August 2023,FY24,
Aggregator commission,SEC,August 2023,FY24,
Marketing & advertisement,SEC,August 2023,FY24,
Interest cost,SEC,August 2023,FY24,
Gross Sales,SYH,August 2023,FY24,35.37
GST,SYH,August 2023,FY24,0.32
Net Sales,SYH,August 2023,FY24,35.05
COGS (food +packaging),SYH,August 2023,FY24,14.29
store Labor Cost,SYH,August 2023,FY24,3.77
Utility Cost,SYH,August 2023,FY24,2.1
Rent,SYH,August 2023,FY24,2.06
CAM,SYH,August 2023,FY24,0.0
Aggregator commission,SYH,August 2023,FY24,6.84
Marketing & advertisement,SYH,August 2023,FY24,1.09
Interest cost,SYH,August 2023,FY24,
Gross Sales,ETF,August 2023,FY24,18.3
GST,ETF,August 2023,FY24,0.87
Net Sales,ETF,August 2023,FY24,17.43
COGS (food +packaging),ETF,August 2023,FY24,6.27
store Labor Cost,ETF,August 2023,FY24,1.99
Utility Cost,ETF,August 2023,FY24,0.6
Rent,ETF,August 2023,FY24,3.08
CAM,ETF,August 2023,FY24,0.0
Aggregator commission,ETF,August 2023,FY24,0.0
Marketing & advertisement,ETF,August 2023,FY24,0.02
Interest cost,ETF,August 2023,FY24,
Gross Sales,GSC,August 2023,FY24,10.76
GST,GSC,August 2023,FY24,0.51
Net Sales,GSC,August 2023,FY24,10.25
COGS (food +packaging),GSC,August 2023,FY24,4.09
store Labor Cost,GSC,August 2023,FY24,2.08
Utility Cost,GSC,August 2023,FY24,0.0
Rent,GSC,August 2023,FY24,0.0
CAM,GSC,August 2023,FY24,
Aggregator commission,GSC,August 2023,FY24,0.0
Marketing & advertisement,GSC,August 2023,FY24,0.03
Interest cost,GSC,August 2023,FY24,
Gross Sales,PRI,August 2023,FY24,
GST,PRI,August 2023,FY24,0.0
Net Sales,PRI,August 2023,FY24,
COGS (food +packaging),PRI,August 2023,FY24,0.0
store Labor Cost,PRI,August 2023,FY24,0.0
Utility Cost,PRI,August 2023,FY24,0.0
Rent,PRI,August 2023,FY24,
CAM,PRI,August 2023,FY24,
Aggregator commission,PRI,August 2023,FY24,0.0
Marketing & advertisement,PRI,August 2023,FY24,0.0
Interest cost,PRI,August 2023,FY24,
Gross Sales,ECN,August 2023,FY24,38.75
GST,ECN,August 2023,FY24,0.74
Net Sales,ECN,August 2023,FY24,38.01
COGS (food +packaging),ECN,August 2023,FY24,13.28
store Labor Cost,ECN,August 2023,FY24,3.18
Utility Cost,ECN,August 2023,FY24,1.56
Rent,ECN,August 2023,FY24,3.92
CAM,ECN,August 2023,FY24,0.41
Aggregator commission,ECN,August 2023,FY24,4.84
Marketing & advertisement,ECN,August 2023,FY24,0.23
Interest cost,ECN,August 2023,FY24,
Gross Sales,RGA,August 2023,FY24,17.65
GST,RGA,August 2023,FY24,0.19
Net Sales,RGA,August 2023,FY24,17.46
COGS (food +packaging),RGA,August 2023,FY24,6.17
store Labor Cost,RGA,August 2023,FY24,2.56
Utility Cost,RGA,August 2023,FY24,0.87
Rent,RGA,August 2023,FY24,1.35
CAM,RGA,August 2023,FY24,0.26
Aggregator commission,RGA,August 2023,FY24,2.93
Marketing & advertisement,RGA,August 2023,FY24,0.43
Interest cost,RGA,August 2023,FY24,
Gross Sales,MIL,August 2023,FY24,
GST,MIL,August 2023,FY24,0.0
Net Sales,MIL,August 2023,FY24,
COGS (food +packaging),MIL,August 2023,FY24,0.0
store Labor Cost,MIL,August 2023,FY24,0.0
Utility Cost,MIL,August 2023,FY24,0.0
Rent,MIL,August 2023,FY24,
CAM,MIL,August 2023,FY24,
Aggregator commission,MIL,August 2023,FY24,
Marketing & advertisement,MIL,August 2023,FY24,
Interest cost,MIL,August 2023,FY24,
Gross Sales,KCK,August 2023,FY24,32.55
GST,KCK,August 2023,FY24,0.0
Net Sales,KCK,August 2023,FY24,32.55
COGS (food +packaging),KCK,August 2023,FY24,10.75
store Labor Cost,KCK,August 2023,FY24,3.41
Utility Cost,KCK,August 2023,FY24,1.16
Rent,KCK,August 2023,FY24,0.37
CAM,KCK,August 2023,FY24,0.0
Aggregator commission,KCK,August 2023,FY24,6.94
Marketing & advertisement,KCK,August 2023,FY24,0.89
Interest cost,KCK,August 2023,FY24,
Gross Sales,BVG,August 2023,FY24,24.54
GST,BVG,August 2023,FY24,0.44
Net Sales,BVG,August 2023,FY24,24.1
COGS (food +packaging),BVG,August 2023,FY24,9.03
store Labor Cost,BVG,August 2023,FY24,2.59
Utility Cost,BVG,August 2023,FY24,1.3
Rent,BVG,August 2023,FY24,1.34
CAM,BVG,August 2023,FY24,0.12
Aggregator commission,BVG,August 2023,FY24,3.17
Marketing & advertisement,BVG,August 2023,FY24,0.57
Interest cost,BVG,August 2023,FY24,
Gross Sales,CLA,August 2023,FY24,22.87
GST,CLA,August 2023,FY24,0.02
Net Sales,CLA,August 2023,FY24,22.84
COGS (food +packaging),CLA,August 2023,FY24,8.46
store Labor Cost,CLA,August 2023,FY24,2.49
Utility Cost,CLA,August 2023,FY24,1.11
Rent,CLA,August 2023,FY24,0.35
CAM,CLA,August 2023,FY24,0.0
Aggregator commission,CLA,August 2023,FY24,4.59
Marketing & advertisement,CLA,August 2023,FY24,1.54
Interest cost,CLA,August 2023,FY24,
Gross Sales,IBC,August 2023,FY24,8.84
GST,IBC,August 2023,FY24,0.28
Net Sales,IBC,August 2023,FY24,8.56
COGS (food +packaging),IBC,August 2023,FY24,3.38
store Labor Cost,IBC,August 2023,FY24,1.47
Utility Cost,IBC,August 2023,FY24,0.72
Rent,IBC,August 2023,FY24,0.73
CAM,IBC,August 2023,FY24,0.0
Aggregator commission,IBC,August 2023,FY24,0.61
Marketing & advertisement,IBC,August 2023,FY24,0.35
Interest cost,IBC,August 2023,FY24,
Gross Sales,BTG,August 2023,FY24,25.32
GST,BTG,August 2023,FY24,0.26
Net Sales,BTG,August 2023,FY24,25.06
COGS (food +packaging),BTG,August 2023,FY24,9.02
store Labor Cost,BTG,August 2023,FY24,2.44
Utility Cost,BTG,August 2023,FY24,0.6
Rent,BTG,August 2023,FY24,2.21
CAM,BTG,August 2023,FY24,0.26
Aggregator commission,BTG,August 2023,FY24,4.12
Marketing & advertisement,BTG,August 2023,FY24,1.08
Interest cost,BTG,August 2023,FY24,
Gross Sales,ECT,August 2023,FY24,31.02
GST,ECT,August 2023,FY24,0.54
Net Sales,ECT,August 2023,FY24,30.48
COGS (food +packaging),ECT,August 2023,FY24,12.09
store Labor Cost,ECT,August 2023,FY24,3.38
Utility Cost,ECT,August 2023,FY24,1.26
Rent,ECT,August 2023,FY24,1.6
CAM,ECT,August 2023,FY24,0.0
Aggregator commission,ECT,August 2023,FY24,4.07
Marketing & advertisement,ECT,August 2023,FY24,3.23
Interest cost,ECT,August 2023,FY24,
Gross Sales,RRR,August 2023,FY24,8.69
GST,RRR,August 2023,FY24,0.16
Net Sales,RRR,August 2023,FY24,8.53
COGS (food +packaging),RRR,August 2023,FY24,3.61
store Labor Cost,RRR,August 2023,FY24,2.38
Utility Cost,RRR,August 2023,FY24,0.45
Rent,RRR,August 2023,FY24,1.02
CAM,RRR,August 2023,FY24,0.35
Aggregator commission,RRR,August 2023,FY24,1.1
Marketing & advertisement,RRR,August 2023,FY24,1.0
Interest cost,RRR,August 2023,FY24,
Gross Sales,SHV,August 2023,FY24,1.93
GST,SHV,August 2023,FY24,0.02
Net Sales,SHV,August 2023,FY24,1.91
COGS (food +packaging),SHV,August 2023,FY24,1.14
store Labor Cost,SHV,August 2023,FY24,0.08
Utility Cost,SHV,August 2023,FY24,0.37
Rent,SHV,August 2023,FY24,1.42
CAM,SHV,August 2023,FY24,0.42
Aggregator commission,SHV,August 2023,FY24,0.32
Marketing & advertisement,SHV,August 2023,FY24,0.19
Interest cost,SHV,August 2023,FY24,
Gross Sales,VBP,August 2023,FY24,43.07
GST,VBP,August 2023,FY24,0.56
Net Sales,VBP,August 2023,FY24,42.52
COGS (food +packaging),VBP,August 2023,FY24,16.32
store Labor Cost,VBP,August 2023,FY24,4.24
Utility Cost,VBP,August 2023,FY24,1.2
Rent,VBP,August 2023,FY24,2.67
CAM,VBP,August 2023,FY24,0.47
Aggregator commission,VBP,August 2023,FY24,6.54
Marketing & advertisement,VBP,August 2023,FY24,1.42
Interest cost,VBP,August 2023,FY24,
Gross Sales,ADM,August 2023,FY24,65.7
GST,ADM,August 2023,FY24,0.33
Net Sales,ADM,August 2023,FY24,65.37
COGS (food +packaging),ADM,August 2023,FY24,25.03
store Labor Cost,ADM,August 2023,FY24,6.12
Utility Cost,ADM,August 2023,FY24,1.25
Rent,ADM,August 2023,FY24,5.09
CAM,ADM,August 2023,FY24,0.53
Aggregator commission,ADM,August 2023,FY24,12.04
Marketing & advertisement,ADM,August 2023,FY24,1.13
Interest cost,ADM,August 2023,FY24,
Gross Sales,SFC,August 2023,FY24,38.75
GST,SFC,August 2023,FY24,0.0
Net Sales,SFC,August 2023,FY24,38.75
COGS (food +packaging),SFC,August 2023,FY24,14.3
store Labor Cost,SFC,August 2023,FY24,4.88
Utility Cost,SFC,August 2023,FY24,1.05
Rent,SFC,August 2023,FY24,0.46
CAM,SFC,August 2023,FY24,0.05
Aggregator commission,SFC,August 2023,FY24,8.04
Marketing & advertisement,SFC,August 2023,FY24,1.68
Interest cost,SFC,August 2023,FY24,
Gross Sales,SCK,August 2023,FY24,44.88
GST,SCK,August 2023,FY24,0.02
Net Sales,SCK,August 2023,FY24,44.86
COGS (food +packaging),SCK,August 2023,FY24,17.88
store Labor Cost,SCK,August 2023,FY24,4.21
Utility Cost,SCK,August 2023,FY24,1.42
Rent,SCK,August 2023,FY24,0.52
CAM,SCK,August 2023,FY24,0.0
Aggregator commission,SCK,August 2023,FY24,8.95
Marketing & advertisement,SCK,August 2023,FY24,1.58
Interest cost,SCK,August 2023,FY24,
Gross Sales,SES,August 2023,FY24,20.35
GST,SES,August 2023,FY24,0.0
Net Sales,SES,August 2023,FY24,20.34
COGS (food +packaging),SES,August 2023,FY24,7.96
store Labor Cost,SES,August 2023,FY24,2.95
Utility Cost,SES,August 2023,FY24,0.96
Rent,SES,August 2023,FY24,0.32
CAM,SES,August 2023,FY24,0.0
Aggregator commission,SES,August 2023,FY24,4.03
Marketing & advertisement,SES,August 2023,FY24,2.28
Interest cost,SES,August 2023,FY24,
Gross Sales,JIG,August 2023,FY24,34.1
GST,JIG,August 2023,FY24,0.32
Net Sales,JIG,August 2023,FY24,33.77
COGS (food +packaging),JIG,August 2023,FY24,14.0
store Labor Cost,JIG,August 2023,FY24,3.58
Utility Cost,JIG,August 2023,FY24,1.82
Rent,JIG,August 2023,FY24,1.45
CAM,JIG,August 2023,FY24,0.09
Aggregator commission,JIG,August 2023,FY24,5.44
Marketing & advertisement,JIG,August 2023,FY24,2.01
Interest cost,JIG,August 2023,FY24,
Gross Sales,GCN,August 2023,FY24,26.79
GST,GCN,August 2023,FY24,0.31
Net Sales,GCN,August 2023,FY24,26.48
COGS (food +packaging),GCN,August 2023,FY24,11.34
store Labor Cost,GCN,August 2023,FY24,3.74
Utility Cost,GCN,August 2023,FY24,1.28
Rent,GCN,August 2023,FY24,2.08
CAM,GCN,August 2023,FY24,0.69
Aggregator commission,GCN,August 2023,FY24,4.0
Marketing & advertisement,GCN,August 2023,FY24,2.08
Interest cost,GCN,August 2023,FY24,
Gross Sales,ANN,August 2023,FY24,31.86
GST,ANN,August 2023,FY24,0.7
Net Sales,ANN,August 2023,FY24,31.16
COGS (food +packaging),ANN,August 2023,FY24,12.56
store Labor Cost,ANN,August 2023,FY24,3.93
Utility Cost,ANN,August 2023,FY24,1.13
Rent,ANN,August 2023,FY24,3.61
CAM,ANN,August 2023,FY24,0.86
Aggregator commission,ANN,August 2023,FY24,3.53
Marketing & advertisement,ANN,August 2023,FY24,1.55
Interest cost,ANN,August 2023,FY24,
Gross Sales,SKO,August 2023,FY24,41.38
GST,SKO,August 2023,FY24,0.62
Net Sales,SKO,August 2023,FY24,40.75
COGS (food +packaging),SKO,August 2023,FY24,15.6
store Labor Cost,SKO,August 2023,FY24,4.49
Utility Cost,SKO,August 2023,FY24,1.78
Rent,SKO,August 2023,FY24,3.43
CAM,SKO,August 2023,FY24,1.03
Aggregator commission,SKO,August 2023,FY24,5.76
Marketing & advertisement,SKO,August 2023,FY24,1.39
Interest cost,SKO,August 2023,FY24,
Gross Sales,JAP,August 2023,FY24,13.89
GST,JAP,August 2023,FY24,0.01
Net Sales,JAP,August 2023,FY24,13.89
COGS (food +packaging),JAP,August 2023,FY24,6.1
store Labor Cost,JAP,August 2023,FY24,2.1
Utility Cost,JAP,August 2023,FY24,0.66
Rent,JAP,August 2023,FY24,0.35
CAM,JAP,August 2023,FY24,0.0
Aggregator commission,JAP,August 2023,FY24,2.76
Marketing & advertisement,JAP,August 2023,FY24,2.83
Interest cost,JAP,August 2023,FY24,
Gross Sales,DWR,August 2023,FY24,17.84
GST,DWR,August 2023,FY24,0.0
Net Sales,DWR,August 2023,FY24,17.84
COGS (food +packaging),DWR,August 2023,FY24,8.0
store Labor Cost,DWR,August 2023,FY24,2.82
Utility Cost,DWR,August 2023,FY24,1.31
Rent,DWR,August 2023,FY24,0.35
CAM,DWR,August 2023,FY24,0.0
Aggregator commission,DWR,August 2023,FY24,3.61
Marketing & advertisement,DWR,August 2023,FY24,2.95
Interest cost,DWR,August 2023,FY24,
Gross Sales,AVK,August 2023,FY24,7.48
GST,AVK,August 2023,FY24,0.15
Net Sales,AVK,August 2023,FY24,7.33
COGS (food +packaging),AVK,August 2023,FY24,3.34
store Labor Cost,AVK,August 2023,FY24,3.13
Utility Cost,AVK,August 2023,FY24,0.65
Rent,AVK,August 2023,FY24,0.78
CAM,AVK,August 2023,FY24,0.39
Aggregator commission,AVK,August 2023,FY24,0.89
Marketing & advertisement,AVK,August 2023,FY24,2.16
Interest cost,AVK,August 2023,FY24,
Gross Sales,IHY,August 2023,FY24,39.57
GST,IHY,August 2023,FY24,1.26
Net Sales,IHY,August 2023,FY24,38.32
COGS (food +packaging),IHY,August 2023,FY24,14.47
store Labor Cost,IHY,August 2023,FY24,3.76
Utility Cost,IHY,August 2023,FY24,1.22
Rent,IHY,August 2023,FY24,6.01
CAM,IHY,August 2023,FY24,0.38
Aggregator commission,IHY,August 2023,FY24,2.85
Marketing & advertisement,IHY,August 2023,FY24,0.72
Interest cost,IHY,August 2023,FY24,
Gross Sales,DCH,August 2023,FY24,23.75
GST,DCH,August 2023,FY24,0.0
Net Sales,DCH,August 2023,FY24,23.75
COGS (food +packaging),DCH,August 2023,FY24,10.07
store Labor Cost,DCH,August 2023,FY24,2.76
Utility Cost,DCH,August 2023,FY24,0.0
Rent,DCH,August 2023,FY24,0.0
CAM,DCH,August 2023,FY24,0.0
Aggregator commission,DCH,August 2023,FY24,0.0
Marketing & advertisement,DCH,August 2023,FY24,0.16
Interest cost,DCH,August 2023,FY24,
Gross Sales,HAA,August 2023,FY24,0.0
GST,HAA,August 2023,FY24,0.0
Net Sales,HAA,August 2023,FY24,0.0
COGS (food +packaging),HAA,August 2023,FY24,0.0
store Labor Cost,HAA,August 2023,FY24,0.0
Utility Cost,HAA,August 2023,FY24,0.0
Rent,HAA,August 2023,FY24,0.0
CAM,HAA,August 2023,FY24,0.0
Aggregator commission,HAA,August 2023,FY24,0.0
Marketing & advertisement,HAA,August 2023,FY24,0.0
Interest cost,HAA,August 2023,FY24,
Gross Sales,SCH,August 2023,FY24,46.23
GST,SCH,August 2023,FY24,1.05
Net Sales,SCH,August 2023,FY24,45.18
COGS (food +packaging),SCH,August 2023,FY24,16.33
store Labor Cost,SCH,August 2023,FY24,3.5
Utility Cost,SCH,August 2023,FY24,1.06
Rent,SCH,August 2023,FY24,5.33
CAM,SCH,August 2023,FY24,0.52
Aggregator commission,SCH,August 2023,FY24,5.39
Marketing & advertisement,SCH,August 2023,FY24,0.16
Interest cost,SCH,August 2023,FY24,
Gross Sales,LTP,August 2023,FY24,25.91
GST,LTP,August 2023,FY24,0.6
Net Sales,LTP,August 2023,FY24,25.31
COGS (food +packaging),LTP,August 2023,FY24,9.16
