Metric,Store,Month-Year,FY,Amount (in lakhs)
Gross Sales,JPC,April 2021,FY22,
GST,JPC,April 2021,FY22,0.0
Net Sales,JPC,April 2021,FY22,0.0
COGS (food +packaging),JPC,April 2021,FY22,0.0
store Labor Cost,JPC,April 2021,FY22,0.0
Utility Cost,JPC,April 2021,FY22,0.0
Rent,JPC,April 2021,FY22,
CAM,JPC,April 2021,FY22,
Aggregator commission,JPC,April 2021,FY22,
Marketing & advertisement,JPC,April 2021,FY22,
Gross Sales,PTP,April 2021,FY22,
GST,PTP,April 2021,FY22,0.0
Net Sales,PTP,April 2021,FY22,0.0
COGS (food +packaging),PTP,April 2021,FY22,0.0
store Labor Cost,PTP,April 2021,FY22,0.0
Utility Cost,PTP,April 2021,FY22,0.07
Rent,PTP,April 2021,FY22,
CAM,PTP,April 2021,FY22,0.0
Aggregator commission,PTP,April 2021,FY22,
Marketing & advertisement,PTP,April 2021,FY22,
Gross Sales,SEC,April 2021,FY22,
GST,SEC,April 2021,FY22,0.0
Net Sales,SEC,April 2021,FY22,0.0
COGS (food +packaging),SEC,April 2021,FY22,0.0
store Labor Cost,SEC,April 2021,FY22,0.0
Utility Cost,SEC,April 2021,FY22,0.05
Rent,SEC,April 2021,FY22,0.27
CAM,SEC,April 2021,FY22,0.03
Aggregator commission,SEC,April 2021,FY22,
Marketing & advertisement,SEC,April 2021,FY22,
Gross Sales,SYH,April 2021,FY22,17.09
GST,SYH,April 2021,FY22,0.81
Net Sales,SYH,April 2021,FY22,16.28
COGS (food +packaging),SYH,April 2021,FY22,6.6
store Labor Cost,SYH,April 2021,FY22,2.05
Utility Cost,SYH,April 2021,FY22,0.83
Rent,SYH,April 2021,FY22,0.21
CAM,SYH,April 2021,FY22,0.0
Aggregator commission,SYH,April 2021,FY22,3.81
Marketing & advertisement,SYH,April 2021,FY22,1.07
Gross Sales,ETF,April 2021,FY22,
GST,ETF,April 2021,FY22,0.0
Net Sales,ETF,April 2021,FY22,0.0
COGS (food +packaging),ETF,April 2021,FY22,0.0
store Labor Cost,ETF,April 2021,FY22,0.0
Utility Cost,ETF,April 2021,FY22,0.08
Rent,ETF,April 2021,FY22,
CAM,ETF,April 2021,FY22,0.0
Aggregator commission,ETF,April 2021,FY22,
Marketing & advertisement,ETF,April 2021,FY22,
Gross Sales,GSC,April 2021,FY22,
GST,GSC,April 2021,FY22,0.0
Net Sales,GSC,April 2021,FY22,0.0
COGS (food +packaging),GSC,April 2021,FY22,0.06
store Labor Cost,GSC,April 2021,FY22,0.0
Utility Cost,GSC,April 2021,FY22,0.0
Rent,GSC,April 2021,FY22,
CAM,GSC,April 2021,FY22,
Aggregator commission,GSC,April 2021,FY22,
